State,Month,Deaths
Vermont,06/2016,28.0
Vermont,07/2016,30.0
Vermont,08/2016,27.0
Vermont,09/2016,28.0
Vermont,10/2016,23.0
Vermont,11/2016,26.0
Vermont,12/2016,42.0
Virginia,01/2016,431.0
Virginia,02/2016,384.0
Virginia,03/2016,429.0
Virginia,04/2016,383.0
Virginia,05/2016,417.0
Virginia,06/2016,359.0
Virginia,07/2016,341.0
Virginia,08/2016,309.0
Virginia,09/2016,278.0
Virginia,10/2016,315.0
Virginia,11/2016,357.0
Virginia,12/2016,407.0
West Virginia,01/2016,183.0
West Virginia,02/2016,162.0
West Virginia,03/2016,188.0
West Virginia,04/2016,178.0
West Virginia,05/2016,174.0
West Virginia,06/2016,160.0
West Virginia,07/2016,149.0
West Virginia,08/2016,159.0
West Virginia,09/2016,160.0
West Virginia,10/2016,160.0
West Virginia,11/2016,156.0
West Virginia,12/2016,193.0
Washington,01/2016,373.0
Washington,02/2016,357.0
Washington,03/2016,382.0
Washington,04/2016,352.0
Washington,05/2016,307.0
Washington,06/2016,259.0
Washington,07/2016,293.0
Washington,08/2016,272.0
Washington,09/2016,259.0
Washington,10/2016,311.0
Washington,11/2016,273.0
Washington,12/2016,413.0
Wisconsin,01/2016,334.0
Wisconsin,02/2016,323.0
Wisconsin,03/2016,441.0
Wisconsin,04/2016,359.0
Wisconsin,05/2016,271.0
Wisconsin,06/2016,267.0
Wisconsin,07/2016,266.0
Wisconsin,08/2016,238.0
Wisconsin,09/2016,259.0
Wisconsin,10/2016,285.0
Wisconsin,11/2016,295.0
Wisconsin,12/2016,336.0
Wyoming,01/2016,32.0
Wyoming,02/2016,41.0
Wyoming,03/2016,40.0
Wyoming,04/2016,40.0
Wyoming,05/2016,37.0
Wyoming,06/2016,36.0
Wyoming,07/2016,33.0
Wyoming,08/2016,28.0
Wyoming,09/2016,22.0
Wyoming,10/2016,33.0
Wyoming,11/2016,36.0
Wyoming,12/2016,48.0
