State,Month,no2
Kentucky,09/2015,7.567611352657005
Kentucky,10/2015,7.255813314009661
Kentucky,11/2015,8.619326221153845
Kentucky,12/2015,6.972096386138613
Louisiana,01/2015,8.220117491039426
Louisiana,02/2015,7.374337154761905
Louisiana,03/2015,6.904068676363637
Louisiana,04/2015,6.68021536802974
Louisiana,05/2015,6.106035992592593
Louisiana,06/2015,5.7936894
Louisiana,07/2015,5.643568
Louisiana,08/2015,5.875263188405796
Louisiana,09/2015,5.707022992509364
Louisiana,10/2015,6.4944551808118085
Louisiana,11/2015,6.0010551127819545
Louisiana,12/2015,6.947725301075269
Maine,01/2015,7.020496677419353
Maine,02/2015,8.074544553571428
Maine,03/2015,5.769208435483871
Maine,04/2015,4.294674816666667
Maine,05/2015,2.7846771724137933
Maine,06/2015,2.7510917999999998
Maine,07/2015,4.386221096774193
Maine,08/2015,3.6347684838709675
Maine,09/2015,4.325228749999999
Maine,10/2015,3.597227559322034
Maine,11/2015,5.4870586333333335
Maine,12/2015,6.336707557377049
Maryland,01/2015,13.793347696774195
Maryland,02/2015,15.064916442028986
Maryland,03/2015,14.884283889705882
Maryland,04/2015,10.39711995683453
Maryland,05/2015,8.805264496774193
Maryland,06/2015,7.8426689793103455
Maryland,07/2015,8.102506918918918
Maryland,08/2015,8.499981390070923
Maryland,09/2015,9.643804535211267
Maryland,10/2015,9.40036952413793
Maryland,11/2015,14.004879576642336
Maryland,12/2015,12.950636477419355
Massachusetts,01/2015,13.683625158576053
Massachusetts,02/2015,15.747996107142857
Massachusetts,03/2015,13.463014190938509
Massachusetts,04/2015,9.27936998
Massachusetts,05/2015,7.619410684039089
Massachusetts,06/2015,7.344629786666666
Massachusetts,07/2015,7.351536196774193
Massachusetts,08/2015,7.3617145935483865
Massachusetts,09/2015,8.236891104729729
Massachusetts,10/2015,8.929415193548387
Massachusetts,11/2015,10.638430673333334
Massachusetts,12/2015,11.710683348387095
Michigan,01/2015,13.020492815286625
Michigan,02/2015,13.821346125000002
Michigan,03/2015,11.802092804347826
Michigan,04/2015,10.014314322222221
Michigan,05/2015,9.627140025
Michigan,06/2015,8.406504228915662
Michigan,07/2015,8.365948043010752
Michigan,08/2015,7.527136400000001
Michigan,09/2015,10.048803755555557
Michigan,10/2015,8.293933569892474
Michigan,11/2015,12.93290447457627
Michigan,12/2015,11.160050115226337
Minnesota,01/2015,11.88312715483871
Minnesota,02/2015,9.918509434782608
Minnesota,03/2015,7.944723228758169
Minnesota,04/2015,8.661392736486487
Minnesota,05/2015,7.593667541935483
Minnesota,06/2015,7.533791755102041
Minnesota,07/2015,6.292162206451613
Minnesota,08/2015,6.218206954838709
Minnesota,09/2015,7.505990406896551
Minnesota,10/2015,8.859010941935484
Minnesota,11/2015,8.812954906666667
Minnesota,12/2015,7.758970335483871
Mississippi,01/2015,7.883655064516129
Mississippi,02/2015,6.8829660892857145
Mississippi,03/2015,5.405605838709677
Mississippi,04/2015,4.7858346724137935
Mississippi,05/2015,5.065471936170213
Mississippi,06/2015,3.775974933333333
Mississippi,07/2015,2.7251217741935494
Mississippi,08/2015,2.9040487419354832
Mississippi,09/2015,4.004270766666666
Mississippi,10/2015,4.957502677419354
Mississippi,11/2015,4.589753033333333
Mississippi,12/2015,5.892370129032258
Missouri,01/2015,14.323560962025315
Missouri,02/2015,12.475762638392856
Missouri,03/2015,13.831259512096775
Missouri,04/2015,11.1879662109375
Missouri,05/2015,9.760231357414447
Missouri,06/2015,9.55301481007752
Missouri,07/2015,8.603510524509803
Missouri,08/2015,9.591446650537634
Missouri,09/2015,10.258228378238341
Missouri,10/2015,10.228615066666666
Missouri,11/2015,11.048086595854922
Missouri,12/2015,10.744771451612904
Montana,01/2015,1.1770890996168584
Montana,02/2015,1.0887632081632652
Montana,03/2015,1.026695724637681
Montana,04/2015,0.5559104225941423
Montana,05/2015,1.003445052631579
Montana,06/2015,1.0091533058252427
Montana,07/2015,0.7372962401746723
Montana,08/2015,1.104019446902655
Montana,09/2015,1.0534743519313303
Montana,10/2015,0.9600360714285715
Montana,11/2015,0.8284772868525897
Montana,12/2015,1.160381806451613
Nebraska,01/2015,0.0
Nebraska,02/2015,0.0
Nebraska,03/2015,0.0
Nebraska,04/2015,0.0
Nebraska,05/2015,0.0
Nebraska,06/2015,0.0
Nebraska,07/2015,0.0
Nebraska,08/2015,0.0
Nebraska,09/2015,0.0
Nebraska,10/2015,0.0
Nebraska,11/2015,0.0
Nebraska,12/2015,0.0
Nevada,01/2015,20.71496127586207
Nevada,02/2015,16.77811179816514
Nevada,03/2015,14.852010601626016
Nevada,04/2015,9.372304547169811
Nevada,05/2015,7.6906712113821145
Nevada,06/2015,8.900908427350426
