State,Month,pm10
Louisiana,11/2015,15.488721804511279
Louisiana,12/2015,15.794520547945206
Maine,01/2015,18.93220338983051
Maine,02/2015,14.033333333333333
Maine,03/2015,20.44
Maine,04/2015,18.0
Maine,05/2015,14.743243243243244
Maine,06/2015,10.055555555555555
Maine,07/2015,13.428571428571429
Maine,08/2015,12.368421052631579
Maine,09/2015,13.506849315068493
Maine,10/2015,8.63768115942029
Maine,11/2015,10.19047619047619
Maine,12/2015,11.0625
Maryland,01/2015,12.826086956521738
Maryland,02/2015,15.421052631578947
Maryland,03/2015,17.470588235294116
Maryland,04/2015,12.28
Maryland,05/2015,15.681818181818182
Maryland,06/2015,19.625
Maryland,07/2015,16.307692307692307
Maryland,08/2015,12.222222222222221
Maryland,09/2015,15.068965517241379
Maryland,10/2015,12.285714285714286
Maryland,11/2015,10.11111111111111
Maryland,12/2015,12.0
Massachusetts,01/2015,11.6
Massachusetts,02/2015,11.969696969696969
Massachusetts,03/2015,16.186046511627907
Massachusetts,04/2015,11.275
Massachusetts,05/2015,15.921052631578947
Massachusetts,06/2015,15.051282051282051
Massachusetts,07/2015,14.975
Massachusetts,08/2015,11.707317073170731
Massachusetts,09/2015,13.75
Massachusetts,10/2015,11.0
Massachusetts,11/2015,7.1
Massachusetts,12/2015,8.3
Michigan,01/2015,19.11864406779661
Michigan,02/2015,25.149350649350648
Michigan,03/2015,25.537634408602152
Michigan,04/2015,24.575581395348838
Michigan,05/2015,27.969325153374232
Michigan,06/2015,23.3953488372093
Michigan,07/2015,31.276243093922652
Michigan,08/2015,23.160714285714285
Michigan,09/2015,25.526315789473685
Michigan,10/2015,22.721311475409838
Michigan,11/2015,20.03488372093023
Michigan,12/2015,18.596273291925467
Minnesota,01/2015,16.38053097345133
Minnesota,02/2015,23.823529411764707
Minnesota,03/2015,21.62295081967213
Minnesota,04/2015,22.54708520179372
Minnesota,05/2015,18.784140969162994
Minnesota,06/2015,22.297777777777778
Minnesota,07/2015,27.88593155893536
Minnesota,08/2015,22.687258687258687
Minnesota,09/2015,26.253846153846155
Minnesota,10/2015,25.003968253968253
Minnesota,11/2015,20.333333333333332
Minnesota,12/2015,12.613636363636363
Mississippi,01/2015,13.857142857142858
Mississippi,02/2015,15.857142857142858
Mississippi,03/2015,15.25
Mississippi,04/2015,30.0
Mississippi,05/2015,15.444444444444445
Mississippi,06/2015,36.3
Mississippi,07/2015,22.25
Mississippi,08/2015,19.444444444444443
Mississippi,09/2015,16.444444444444443
Mississippi,10/2015,21.6
Mississippi,11/2015,10.6
Mississippi,12/2015,15.8
Missouri,01/2015,19.89316239316239
Missouri,02/2015,17.782222222222224
Missouri,03/2015,21.4078431372549
Missouri,04/2015,21.890350877192983
Missouri,05/2015,18.19047619047619
Missouri,06/2015,24.96069868995633
Missouri,07/2015,29.84162895927602
Missouri,08/2015,24.311023622047244
Missouri,09/2015,24.29875518672199
Missouri,10/2015,26.118181818181817
Missouri,11/2015,15.841880341880342
Missouri,12/2015,14.227272727272727
Montana,01/2015,15.379310344827585
Montana,02/2015,20.885793871866294
Montana,03/2015,21.09043927648579
Montana,04/2015,17.86426592797784
Montana,05/2015,16.18324607329843
Montana,06/2015,20.310160427807485
Montana,07/2015,22.712290502793294
Montana,08/2015,48.79081632653061
Montana,09/2015,21.768156424581004
Montana,10/2015,20.43360433604336
Montana,11/2015,17.817365269461078
Montana,12/2015,13.519788918205805
