State,Month,co
New Hampshire,11/2018,0.17402724576271186
New Hampshire,12/2018,0.1691338387096774
New Jersey,01/2018,0.4028491950549451
New Jersey,02/2018,0.3784305
New Jersey,03/2018,0.26681627688172044
New Jersey,04/2018,0.3048715754189944
New Jersey,05/2018,0.27149577897574123
New Jersey,06/2018,0.23266603641456585
New Jersey,07/2018,0.2719866918918919
New Jersey,08/2018,0.31679742741935485
New Jersey,09/2018,0.3237688111111111
New Jersey,10/2018,0.28114224728260867
New Jersey,11/2018,0.32756881666666665
New Jersey,12/2018,0.3974747392473118
New York,01/2018,0.28818058957654724
New York,02/2018,0.30158249552772803
New York,03/2018,0.2476216129032258
New York,04/2018,0.25090047147651007
New York,05/2018,0.23795176860841424
New York,06/2018,0.2130795102040816
New York,07/2018,0.21454120967741933
New York,08/2018,0.23587244019933554
New York,09/2018,0.214866392733564
New York,10/2018,0.22942074836601312
New York,11/2018,0.2738569540816327
New York,12/2018,0.3005807553017945
New Mexico,01/2018,0.39422884677419356
New Mexico,02/2018,0.23462563392857144
New Mexico,03/2018,0.2106641048387097
New Mexico,04/2018,0.19753178813559322
New Mexico,05/2018,0.1686478524590164
New Mexico,06/2018,0.158261175
New Mexico,07/2018,0.14495795161290329
New Mexico,08/2018,0.1384516048387097
New Mexico,09/2018,0.13518375438596492
New Mexico,10/2018,0.15369742741935488
New Mexico,11/2018,0.3274687333333334
New Mexico,12/2018,0.30936318548387104
Oklahoma,01/2018,0.25574601612903225
Oklahoma,02/2018,0.2525403
Oklahoma,03/2018,0.2793849838709677
Oklahoma,04/2018,0.18896887962962963
Oklahoma,05/2018,0.281363279661017
Oklahoma,06/2018,0.26479179999999997
Oklahoma,07/2018,0.27889164516129034
Oklahoma,08/2018,0.22829456444444443
Oklahoma,09/2018,0.2012392009569378
Oklahoma,10/2018,0.19717560887096774
Oklahoma,11/2018,0.2825569846938776
Oklahoma,12/2018,0.2812718817204301
Ohio,01/2018,0.23289666067146284
Ohio,02/2018,0.2346656150793651
Ohio,03/2018,0.20756165430622012
Ohio,04/2018,0.23624016157760816
Ohio,05/2018,0.23919620323325635
Ohio,06/2018,0.21905648329355612
Ohio,07/2018,0.2148112199074074
Ohio,08/2018,0.21291784059633032
Ohio,09/2018,0.2280734155555556
Ohio,10/2018,0.20205274837310194
Ohio,11/2018,0.21602007159904532
Ohio,12/2018,0.25920328908188583
Oregon,01/2018,0.25557360483870967
Oregon,02/2018,0.3000278909090909
Oregon,03/2018,0.28702264150943396
Oregon,04/2018,0.274598875
Oregon,05/2018,0.21381291304347824
Oregon,06/2018,0.24930223214285713
Oregon,07/2018,0.27496337575757573
Oregon,08/2018,0.35623601398601396
Oregon,09/2018,0.32946584166666665
Oregon,10/2018,0.4082759919354839
Oregon,11/2018,0.38174080833333335
Oregon,12/2018,0.35308407258064517
Pennsylvania,01/2018,0.3206983554572272
Pennsylvania,02/2018,0.3198248546409807
Pennsylvania,03/2018,0.2596384419354839
Pennsylvania,04/2018,0.2465066433333333
Pennsylvania,05/2018,0.2745790102739726
Pennsylvania,06/2018,0.2192584214162349
Pennsylvania,07/2018,0.23772474776386407
Pennsylvania,08/2018,0.2528505608108108
Pennsylvania,09/2018,0.22107817166666668
Pennsylvania,10/2018,0.20740725083056477
Pennsylvania,11/2018,0.24686499166666664
Pennsylvania,12/2018,0.2701087382550335
Tennessee,01/2018,0.2538508917748918
Tennessee,02/2018,0.2589339146919431
Tennessee,03/2018,0.2725480483870968
Tennessee,04/2018,0.24704687083333335
Tennessee,05/2018,0.26346177916666663
Tennessee,06/2018,0.2521143
Tennessee,07/2018,0.26850893548387095
Tennessee,08/2018,0.2840403362445415
Tennessee,09/2018,0.2718977149321267
Tennessee,10/2018,0.26102182916666666
Tennessee,11/2018,0.2790071008403362
Tennessee,12/2018,0.27963253061224486
Texas,01/2018,0.34934208
Texas,02/2018,0.29980505254237283
Texas,03/2018,0.28071649394347237
Texas,04/2018,0.27462705972222223
Texas,05/2018,0.2799021904109589
Texas,06/2018,0.24173441736694676
Texas,07/2018,0.25363806434316355
Texas,08/2018,0.25753555152394775
Texas,09/2018,0.2801749956772334
Texas,10/2018,0.27098999131513646
Texas,11/2018,0.31081972363150867
Texas,12/2018,0.31269464555256066
Utah,01/2018,0.3509025322580645
Utah,02/2018,0.20057280357142857
Utah,03/2018,0.19257627142857145
Utah,04/2018,0.2972500709459459
Utah,05/2018,0.290993875
Utah,06/2018,0.25083982670454547
Utah,07/2018,0.18712546892655366
Utah,08/2018,0.3241162150837989
