State,Month,o3
Maryland,11/2017,0.024430763005780343
Maryland,12/2017,0.023680273224043716
Massachusetts,01/2017,0.027889648484848487
Massachusetts,02/2017,0.034227878378378374
Massachusetts,03/2017,0.037508699588477364
Massachusetts,04/2017,0.039114215189873416
Massachusetts,05/2017,0.034104744421906696
Massachusetts,06/2017,0.037258363256784964
Massachusetts,07/2017,0.03151646913580247
Massachusetts,08/2017,0.031231512244897966
Massachusetts,09/2017,0.02721206479481642
Massachusetts,10/2017,0.02790555723542117
Massachusetts,11/2017,0.02580540416666667
Massachusetts,12/2017,0.02504753225806452
Michigan,01/2017,0.02142924014336918
Michigan,02/2017,0.027864931034482756
Michigan,03/2017,0.033717622502628816
Michigan,04/2017,0.03661618561001043
Michigan,05/2017,0.03752257852077001
Michigan,06/2017,0.038848898612593386
Michigan,07/2017,0.03278554045643153
Michigan,08/2017,0.03045741468459152
Michigan,09/2017,0.027816144680851064
Michigan,10/2017,0.026615056795131847
Michigan,11/2017,0.020619822641509435
Michigan,12/2017,0.02393634050179211
Minnesota,01/2017,0.023233387096774194
Minnesota,02/2017,0.029217774834437084
Minnesota,03/2017,0.032775497153700185
Minnesota,04/2017,0.03378716103379721
Minnesota,05/2017,0.034694208812260534
Minnesota,06/2017,0.034805945098039213
Minnesota,07/2017,0.02866142084942085
Minnesota,08/2017,0.02399145785440613
Minnesota,09/2017,0.024809968253968254
Minnesota,10/2017,0.024278188
Minnesota,11/2017,0.0210199406779661
Minnesota,12/2017,0.024415422764227642
Mississippi,01/2017,0.025363423728813558
Mississippi,02/2017,0.02945974545454546
Mississippi,03/2017,0.035828474193548385
Mississippi,04/2017,0.03440515
Mississippi,05/2017,0.03473539072847682
Mississippi,06/2017,0.024116036912751677
Mississippi,07/2017,0.024845608414239485
Mississippi,08/2017,0.023775832786885245
Mississippi,09/2017,0.02870523880597015
Mississippi,10/2017,0.026598043624161072
Mississippi,11/2017,0.024633050000000004
Mississippi,12/2017,0.02229687096774193
Missouri,01/2017,0.020585879032258062
Missouri,02/2017,0.02980529655172414
Missouri,03/2017,0.03549443917963225
Missouri,04/2017,0.03678887546057479
Missouri,05/2017,0.03918853835227273
Missouri,06/2017,0.03673397566371681
Missouri,07/2017,0.03647196
Missouri,08/2017,0.03216534495021337
Missouri,09/2017,0.03482830166787527
Missouri,10/2017,0.029920836749116612
Missouri,11/2017,0.021931144067796608
Missouri,12/2017,0.024012709677419353
Montana,01/2017,0.031210528225806458
Montana,02/2017,0.031866288990825685
Montana,03/2017,0.03338792741935484
Montana,04/2017,0.03619501913875598
Montana,05/2017,0.03621683333333334
Montana,06/2017,0.03706409482758621
Montana,07/2017,0.040944906882591094
Montana,08/2017,0.04029437349397591
Montana,09/2017,0.03045739406779661
Montana,10/2017,0.028340287500000002
Montana,11/2017,0.025532588235294123
Montana,12/2017,0.028139561983471072
Nebraska,01/2017,0.024748354838709682
Nebraska,02/2017,0.02977785714285714
Nebraska,03/2017,0.030737693333333337
Nebraska,04/2017,0.0319961677852349
Nebraska,05/2017,0.035411693430656935
Nebraska,06/2017,0.041006860000000006
Nebraska,07/2017,0.03619161688311688
Nebraska,08/2017,0.02916173856209151
Nebraska,09/2017,0.02833088888888889
Nebraska,10/2017,0.023902844155844153
Nebraska,11/2017,0.020587064516129034
