State,Month,o3,so2,no2,pm10,co,temp,humidity,pressure,Population,Deaths
South Carolina,09/2016,0.02812545655877342,0.16563497448979592,4.921569651376147,14.388888888888893,0.16528343333333334,76.15845245,74.27472945,0.0,5148714,260.0
South Carolina,10/2016,0.029755426716141,0.19654552071005915,6.436790338709677,17.066037735849058,0.2085455483870968,66.39784948387097,70.1465054516129,0.0,5148714,258.0
South Carolina,11/2016,0.02728093548387097,0.28456913095238096,4.701540030303031,23.73809523809524,0.27970900000000004,55.38138890000001,67.1500001,0.0,5148714,308.0
South Carolina,12/2016,0.02067266858789625,0.2390910637254902,5.645313731182796,11.548611111111107,0.1933883870967741,48.23104838709678,71.23118280645161,0.0,5148714,316.0
Colorado,01/2016,0.03292230890538034,1.9513952862903223,19.06308214179105,16.172916666666666,0.5331720145985401,27.681727509677426,68.22813230322578,795.1100502322581,5758736,320.0
Colorado,02/2016,0.037908733926805147,1.2591746194690263,13.894533136,21.038277511961727,0.3964471705882353,34.99740354861111,57.26422857109557,798.1434639793105,5758736,293.0
Colorado,03/2016,0.03980150402864816,1.0045334233870968,11.54706222279793,21.44708423326134,0.3440712391304348,40.45801967519685,48.366441852760744,793.5447371025641,5758736,346.0
Colorado,04/2016,0.04193876586620926,1.0227333675213677,9.371156490358127,14.784140969162994,0.31700037904761896,46.34288345252525,54.28313975208333,795.4037786066666,5758736,280.0
Colorado,05/2016,0.04482079438543248,0.9637889075630254,8.799154194513715,15.14132762312634,0.2956801178637201,53.5735883467189,50.651913024291495,795.6634824193549,5758736,288.0
Colorado,06/2016,0.04524464866920152,1.1891010416666667,9.276379428940569,22.93205944798301,0.29688223166023164,70.29923717969542,37.57376386947369,799.7996951466665,5758736,200.0
Colorado,07/2016,0.04563500786275911,1.6645673699186994,9.241853907960197,22.956340956340966,0.2647520940325497,72.96600274702381,38.80448846153846,799.4192178580646,5758736,201.0
Colorado,08/2016,0.04325717321178122,1.3403961544715446,10.171727443037977,17.689587426326128,0.2777222347670251,67.4426091408867,49.00929446106557,799.8931603548388,5758736,226.0
Colorado,09/2016,0.03633706580829756,1.6705502773109244,10.351729688946014,18.841237113402066,0.2828271286919832,62.3135238172888,46.59859400806451,793.3400115511812,5758736,218.0
Colorado,10/2016,0.034077376740376746,1.3417144285714286,12.297558413098235,21.588353413654623,0.3633446654205608,54.652695478510026,44.72845019354839,790.0615338951612,5758736,231.0
Colorado,11/2016,0.031522601417183355,1.4999741000000002,15.075925986338794,19.702811244979927,0.4362914183864916,42.523001046214354,55.02734288560158,790.2690492083333,5758736,226.0
Colorado,12/2016,0.0296233972246314,1.7302560588235292,16.696792207500003,15.912065439672801,0.4853637431693989,28.13641438342967,64.02297822745098,786.5430000241936,5758736,279.0
Connecticut,01/2016,0.02760426086956522,0.7251586322580645,11.335248163934429,12.254385964912279,0.30318309354838713,32.706333497685186,42.32044721052631,1000.6347542387095,3565287,169.0
Connecticut,02/2016,0.031468879518072285,0.6051833632958802,13.503475894117651,10.916666666666664,0.2876918448275862,34.49631173778921,45.97999341666667,1001.1446027034483,3565287,191.0
Connecticut,03/2016,0.038002425742574265,0.4112067741935483,11.114447150537634,11.393939393939394,0.2691088064516129,44.25656180851064,44.19765842424242,1002.1223117806453,3565287,228.0
Connecticut,04/2016,0.041728924242424234,0.2481177871621622,11.128443777777774,9.617391304347828,0.2428149533333333,48.41220691794872,42.533872525,1002.29329196,3565287,212.0
Connecticut,05/2016,0.038355767908309454,0.1940374064516129,12.873148865168545,12.674796747967482,0.25882599677419355,58.92080624378109,55.61024716935484,1000.135361651613,3565287,168.0
Connecticut,06/2016,0.037969425595238096,0.17129820333333334,10.484633255555558,14.727272727272727,0.2238055466666667,67.9418191,58.36428202409638,998.8111111266667,3565287,141.0
Connecticut,07/2016,0.04079313235294117,0.21670721290322573,11.199652903225813,12.757009345794392,0.2483392597402597,75.1077951410891,65.78331235294117,999.8770618903226,3565287,137.0
Connecticut,08/2016,0.03622730601092896,0.21586229666666668,10.74835206741573,12.926829268292684,0.2385893066666667,75.5571994907834,67.42088977108433,1002.7665884000003,3565287,136.0
Connecticut,09/2016,0.030229164345403906,0.2056285233333333,9.808142807692308,11.456140350877195,0.21545257,67.73313872857143,63.51745167222222,1004.9715632333333,3565287,134.0
Connecticut,10/2016,0.02482821774193548,0.2081172516129032,12.68738972043011,11.884297520661152,0.2468909709677419,55.24761325603865,59.86358232795699,1004.577738116129,3565287,136.0
Connecticut,11/2016,0.02302915,0.42661860333333335,17.695555555555558,11.457627118644067,0.3413259189189189,46.14374659895833,50.9158705443038,1001.4880817411763,3565287,159.0
Connecticut,12/2016,0.02199589256198348,0.5057753322580645,18.79048774193548,11.204918032786882,0.30599682857142857,35.93157839047619,44.1125377016129,1003.452916532258,3565287,186.0
